,Level,Unit No.,Balcony orientation,View,NSA (m2),Price in USD (Excl. VAT)
Level,1.0,-0.007833382613339839,-5.20911200332002e-18,-6.624508887679825e-18,0.0,0.07435715319676559
Unit No.,-0.007833382613339839,1.0,0.956289161665138,0.8773180600435687,0.9979118017557576,0.96305751972363
Balcony orientation,-5.20911200332002e-18,0.956289161665138,1.0,0.8497241792351082,0.9565453080045958,0.9576409027474592
View,-6.624508887679825e-18,0.8773180600435687,0.8497241792351082,1.0,0.8821476250549215,0.8886832855505452
NSA (m2),0.0,0.9979118017557576,0.9565453080045958,0.8821476250549215,1.0,0.9649016474577304
Price in USD (Excl. VAT),0.07435715319676559,0.96305751972363,0.9576409027474592,0.8886832855505452,0.9649016474577304,1.0
